,comments_level_1_mid,main_body_uid,发布时间,处理内容,mid,点赞数量,原生内容,uid,用户昵称,用户主页,用户认证信息,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,4752076175316198,3135024891,22年03月28日 19:26,还有个群友女朋友之前好好的，去了趟西藏回来感觉灵魂被净化了，说啥要分手，我群确实都是冤种,4752076402068374,1,还有个群友女朋友之前好好的，去了趟西藏回来感觉灵魂被净化了，说啥要分手，我群确实都是冤种,3135024891,豹春丽,https://weibo.com/u/3135024891,微博原创视频博主,無門畫工/大型猫科动物,江苏,f,158559,728,11882,"98,746","32,336","292,961","424,043"
1,4752076175316198,3135024891,22年03月29日 03:18,"回复<a href=/n/梅雨小笼豹 usercard=""name=@梅雨小笼豹"">@梅雨小笼豹</a>:笑死",4752195339419743,0,回复@梅雨小笼豹:笑死,1886907911,·燚·,https://weibo.com/u/1886907911,游戏博主,,其他,m,253181,906,11945,"16,003","142,374","20,844","179,221"
