,comments_level_1_mid,main_body_uid,发布时间,处理内容,mid,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,4733109016465717,7338954795,22年02月05日 07:29,雷哥语录,4733414198214927,0,雷哥语录,5967228856,在秋天的黄昏等你,https://weibo.com/u/5967228856,,其他,m,73,252,125,11,0,24,35
1,4733109016465717,7338954795,22年02月04日 12:00,"搞钱多香想买啥买啥 男的算个屁<img alt=""[开学季]"" title=""[开学季]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/72/2021_kaixueji_org.png"" />",4733120044339414,0,搞钱多香想买啥买啥 男的算个屁[开学季],3197112664,Sevone1,https://weibo.com/u/3197112664,,浙江 台州,m,23,218,28,0,63,4,67
