,comments_level_1_mid,main_body_uid,发布时间,处理内容,mid,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞,用户认证信息
0,4032528916075646,1667229832,16年10月20日 08:22,"回复<a href=/n/尕籽子子啊 usercard=""name=@尕籽子子啊"">@尕籽子子啊</a>:😁",4032569555121417,0,回复@尕籽子子啊:😁,1719402367,维维安你知道吗我是如此闪耀,https://weibo.com/u/1719402367,维维安，看着我，你要一直注视我，带着你的祝福和保佑。,其他,f,520,344,5042,"2,082",356,"1,693","4,131",
1,4032528916075646,1667229832,16年10月20日 07:16,💐早啊 圆脑袋的美人鱼🐋,4032552924249321,0,💐早啊 圆脑袋的美人鱼🐋,1667229832,郭杏核儿,https://weibo.com/u/1667229832,Är Socker,吉林 长春,f,15048,261,17169,"72,816","19,215","104,167","196,198",音乐博主
