,comments_level_1_mid,main_body_uid,发布时间,处理内容,评论地点,mid,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5154236662286757,1837234894,25年04月11日 20:35,原来是支持李玲免费医疗的货色,来自湖南,5154344383813013,6,原来是支持李玲免费医疗的货色,7394638449,江郎才不尽2011,https://weibo.com/u/7394638449,,其他,m,81,212,98,17,7,124,148
1,5154236662286757,1837234894,25年04月11日 19:03,"老蟀终于要红了？<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />真怕这么蠢很快会过气",来自山东,5154321358131896,5,老蟀终于要红了？[允悲]真怕这么蠢很快会过气,7816586495,你猜我说的啥,https://weibo.com/u/7816586495,文化不高，所以只相信公知、财经博主、房产博主、媒体人、律师、作家、乌友、以友，因为它们独立思考！,内蒙古 呼和浩特,m,100,292,15835,"2,718","1,701","2,099","6,518"
2,5154236662286757,1837234894,25年04月11日 23:13,"<a href=/n/佛山蟀哥 usercard=""name=@佛山蟀哥"">@佛山蟀哥</a> 构比",来自北京,5154384201391471,1,@佛山蟀哥 构比,3091441057,楚材_RidleyWANG,https://weibo.com/u/3091441057,传统武术与历史重演爱好者,北京,m,2397,1924,764,"1,507","2,207","6,866","10,580"
