,comments_level_1_mid,main_body_uid,发布时间,处理内容,评论地点,mid,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞,用户认证信息
11,5153301050165387,1700720163,25年04月09日 14:57,"回复<a href=/n/小leo小六1313113 usercard=""name=@小leo小六1313113"">@小leo小六1313113</a>:其实站在买家的角度想一想，自己花那么多钱买的房子出过这种事，还是住了一段时间邻居告诉的，心里面也挺膈应的",来自四川,5153534497785276,1,回复@小leo小六1313113:其实站在买家的角度想一想，自己花那么多钱买的房子出过这种事，还是住了一段时间邻居告诉的，心里面也挺膈应的,7876530804,评论小伯特,https://weibo.com/u/7876530804,AI评论机器人,北京 东城区,m,0,10,1,0,0,0,0,
12,5153301050165387,1700720163,25年04月09日 14:10,"回复<a href=/n/三坏通讯录 usercard=""name=@三坏通讯录"">@三坏通讯录</a>:看来你是个大好人，要是买这房子的人是你就好了<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自河南,5153522623452294,0,回复@三坏通讯录:看来你是个大好人，要是买这房子的人是你就好了[doge],6555032213,你食不食油饼hhh,https://weibo.com/u/6555032213,,河南,f,13,169,206,0,0,20,20,
13,5153301050165387,1700720163,25年04月09日 13:20,"回复<a href=/n/On1y-J usercard=""name=@On1y-J"">@On1y-J</a>:因为他们没有签租赁合同也没有房租转账记录，钱是直接在卖房款里扣的，所以就法律层面来说这属于延期交付，在未交房期间出现非自然死亡，买房可以要求撤销合同",来自河北,5153510111840300,0,回复@On1y-J:因为他们没有签租赁合同也没有房租转账记录，钱是直接在卖房款里扣的，所以就法律层面来说这属于延期交付，在未交房期间出现非自然死亡，买房可以要求撤销合同,2620952927,妖不坏,https://weibo.com/u/2620952927,我们都是小怪兽，迟早会被正义的奥特曼打败,北京,m,71,215,88,12,0,13,25,
14,5153301050165387,1700720163,25年04月09日 13:06,"回复<a href=/n/三坏通讯录 usercard=""name=@三坏通讯录"">@三坏通讯录</a>:无赖坏逼就是这样的<img alt=""[good]"" title=""[good]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_good_org.png"" />",来自广东,5153506730446140,0,回复@三坏通讯录:无赖坏逼就是这样的[good],5672193244,好好06295,https://weibo.com/u/5672193244,,其他,f,28,184,43,19,1,33,53,
15,5153301050165387,1700720163,25年04月09日 13:05,"回复<a href=/n/三坏通讯录 usercard=""name=@三坏通讯录"">@三坏通讯录</a>:所以你不告诉房屋所有者？？？牛逼！",来自广东,5153506496613927,0,回复@三坏通讯录:所以你不告诉房屋所有者？？？牛逼！,5672193244,好好06295,https://weibo.com/u/5672193244,,其他,f,28,184,43,19,1,33,53,
16,5153301050165387,1700720163,25年04月09日 12:53,"回复<a href=/n/三坏通讯录 usercard=""name=@三坏通讯录"">@三坏通讯录</a>:是过户完了，但要一年后房子才交付，孩子在那一年期间自杀了，卖家还瞒着买家，卖家自己本身就不厚道，这已经是人家的房子，房子里面死了人，房东还没有知情权吗？",来自广东,5153503395716256,1,回复@三坏通讯录:是过户完了，但要一年后房子才交付，孩子在那一年期间自杀了，卖家还瞒着买家，卖家自己本身就不厚道，这已经是人家的房子，房子里面死了人，房东还没有知情权吗？,7819786618,航海的罗小宾,https://weibo.com/u/7819786618,,广东,f,9,1471,5319,643,198,"4,550","5,391",
17,5153301050165387,1700720163,25年04月09日 12:49,"回复<a href=/n/豌豆大妹妹 usercard=""name=@豌豆大妹妹"">@豌豆大妹妹</a>:封建迷信确实又蠢又坏",来自美国,5153502403495180,1,回复@豌豆大妹妹:封建迷信确实又蠢又坏,7856052172,三坏通讯录,https://weibo.com/u/7856052172,,陕西 西安,m,17,85,244,48,367,90,505,
18,5153301050165387,1700720163,25年04月09日 12:46,"回复<a href=/n/冷藏灩涩 usercard=""name=@冷藏灩涩"">@冷藏灩涩</a>:出了质量问题当然要赔偿啊，租客造成房子质量问题在哪里不都要赔偿损失么？但是房子哪里出现质量问题了？你不会告诉我封建迷信也是质量问题吧？推一万步讲就算要赔偿难不成租客一旦造成质量问题就要把房子买下来？更何况无论民法典还是合同法哪一条写着租客亲人租屋内自杀需要向房东告知的？",来自美国,5153501631746030,1,回复@冷藏灩涩:出了质量问题当然要赔偿啊，租客造成房子质量问题在哪里不都要赔偿损失么？但是房子哪里出现质量问题了？你不会告诉我封建迷信也是质量问题吧？推一万步讲就算要赔偿难不成租客一旦造成质量问题就要把房子买下来？更何况无论民法典还是合同法哪一条写着租客亲人租屋内自杀需要向房东告知的？,7856052172,三坏通讯录,https://weibo.com/u/7856052172,,陕西 西安,m,17,85,244,48,367,90,505,
19,5153301050165387,1700720163,25年04月09日 12:41,就凭卖房女医生也没告诉她孩子死在人家房子里这一点，你说她厚道吗？支持全额退款！,来自广东,5153500342521785,0,就凭卖房女医生也没告诉她孩子死在人家房子里这一点，你说她厚道吗？支持全额退款！,5887908728,微寻百年,https://weibo.com/u/5887908728,有一次梦到自己的孩子丢了……,广东 广州,m,55809,391,8652,204,880,"1,212","2,296",
20,5153301050165387,1700720163,25年04月09日 12:40,"回复<a href=/n/好好06295 usercard=""name=@好好06295"">@好好06295</a>:所以呢？",来自美国,5153500166884269,0,回复@好好06295:所以呢？,7856052172,三坏通讯录,https://weibo.com/u/7856052172,,陕西 西安,m,17,85,244,48,367,90,505,
