,main_body_mid,main_body_uid,发布时间,处理内容,mid,回复数量,点赞数量,原生内容,评论地点,uid,用户昵称,用户主页,用户认证信息,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5142319705099462,1897723622,2025-03-09 16:38:48,关注,5142326034301697,1,1,关注,,2240099322,安徽气象,https://weibo.com/u/2240099322,安徽省气象局官方微博,关注天气，关心冷暖，安徽气象与您风雨同舟。 曾用名：江淮气象 乳名：淮淮,安徽,m,630419,726,102058,"531,885","153,644","640,637","1,326,166"
1,5142319705099462,1897723622,2025-03-09 16:41:58,关注,5142326827028983,1,0,关注,,1919210311,绵阳特巡警,https://weibo.com/u/1919210311,四川省绵阳市公安局巡特警支队官方微博,,四川 绵阳,f,36309,1092,28700,"458,140","11,321","347,928","817,389"
2,5142319705099462,1897723622,2025-03-09 16:40:18,关注,5142326407859011,1,0,关注,来自湖南,7706094217,拾光里里可乐三两杯,https://weibo.com/u/7706094217,微博原创视频博主,球台两侧只站孙颖莎,湖南,f,198155,4811,34516,"739,289","59,567","1,066,722","1,865,578"
3,5142319705099462,1897723622,2025-03-09 16:40:14,感谢分享,5142326390821434,1,0,感谢分享,来自湖南,7706094217,拾光里里可乐三两杯,https://weibo.com/u/7706094217,微博原创视频博主,球台两侧只站孙颖莎,湖南,f,198155,4811,34516,"739,289","59,567","1,066,722","1,865,578"
4,5142319705099462,1897723622,2025-03-09 16:53:00,关注！,5142329603919591,1,0,关注！,来自河北,7939796343,耳朵馆长,https://weibo.com/u/7939796343,超话粉丝钻咖（苏新皓超话）,Just go straight on！！！！！,河北 石家庄,f,130,385,1360,"12,292",52,"1,162","13,506"
5,5142319705099462,1897723622,2025-03-09 16:49:29,关注,5142328721539591,1,0,关注,来自广东,6026793502,Miraitowa_0219,https://weibo.com/u/6026793502,,,广东 潮州,f,157,608,1817,619,330,754,"1,703"
6,5142319705099462,1897723622,2025-03-09 16:46:34,关注,5142327984653171,1,0,关注,来自广东,5172594994,乐望星空没,https://weibo.com/u/5172594994,,,其他,f,1322,191,987,"1,278",52,970,"2,300"
7,5142319705099462,1897723622,2025-03-09 16:32:00,学到啦,5142324318045692,1,0,学到啦,来自天津,1751808090,青山见予_,https://weibo.com/u/1751808090,设计美学博主,我先是我，其次才是谁的谁。,其他,m,13220,1549,7629,"41,502","950,506","43,832","1,035,840"
8,5142319705099462,1897723622,2025-03-09 16:41:29,关注,5142326703826501,1,0,关注,来自四川,7968249307,兮之于我_光,https://weibo.com/u/7968249307,,,其他,f,71,242,698,"1,991",65,"2,637","4,693"
9,5142319705099462,1897723622,2025-03-09 16:34:02,"分享<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />",5142324830798889,2,0,分享[心],来自江苏,7930562048,琬雨桐,https://weibo.com/u/7930562048,超话主持人（左小青超话）,知名国际巨星  姚贝娜接班人,其他,m,70,20,884,"2,460",206,"3,296","5,962"
10,5142319705099462,1897723622,2025-03-09 17:36:34,关注,5142340570448147,0,0,关注,,3891514878,未央法院,https://weibo.com/u/3891514878,陕西省西安市未央区人民法院官方微博,,陕西 西安,m,15327,777,86204,"10,653","7,170","26,987","44,810"
11,5142319705099462,1897723622,2025-03-09 20:45:31,关注,5142388116821427,0,0,关注,来自上海,6456950325,ntjj079,https://weibo.com/u/6456950325,,祝你开心 不止今天,其他,f,11,258,7608,75,84,132,291
12,5142319705099462,1897723622,2025-03-09 19:22:17,关注,5142367174656562,0,0,关注,来自黑龙江,3672041181,王汪汪鱼,https://weibo.com/u/3672041181,超话粉丝大咖（五月天超话）,challenge successful,黑龙江,f,293,989,22192,"1,668","1,109","4,383","7,160"
13,5142319705099462,1897723622,2025-03-09 19:03:37,关注！,5142362474678017,0,0,关注！,来自湖南,6598528730,落叶飘不飘呢,https://weibo.com/u/6598528730,动漫博主,爱我所爱🫶🏻,湖南,f,2547,793,22828,"97,038","13,963","55,526","166,527"
14,5142319705099462,1897723622,2025-03-09 18:16:34,关注,5142350632584344,0,0,关注,来自山东,5775200457,yusuke_sidarling,https://weibo.com/u/5775200457,,王昶梁伟铿全肯定全肯定全肯定bot,其他,f,89,178,2235,982,114,"1,584","2,680"
15,5142319705099462,1897723622,2025-03-09 17:44:08,关注,5142342471256718,0,0,关注,来自山东,5112985352,养了一只英国短毛猫,https://weibo.com/u/5112985352,,❤️🐳 ❤️🏸🏸,其他,f,54,980,7197,609,285,649,"1,543"
16,5142319705099462,1897723622,2025-03-09 17:32:50,关注,5142339626994263,0,0,关注,来自广东,7515222082,rongrong00627,https://weibo.com/u/7515222082,,谨记，话别说太满,其他,m,3551,96,5414,339,63,86,488
17,5142319705099462,1897723622,2025-03-09 17:12:47,了解了,5142334582558179,0,0,了解了,来自北京,5848474937,栗新四,https://weibo.com/u/5848474937,体育博主,gay我一个吻 可以不可以~,北京,f,1254,498,3590,"13,467","5,861","18,089","37,417"
18,5142319705099462,1897723622,2025-03-09 17:06:27,关注,5142332988724927,0,0,关注,来自重庆,3294599752,熊兔软糖收藏家,https://weibo.com/u/3294599752,,adj.非常无聊的,重庆,f,638,403,10841,866,"4,618","1,853","7,337"
19,5142319705099462,1897723622,2025-03-09 17:03:12,关注,5142332168999876,0,0,关注,来自上海,3613052563,下一站是不是幸福的彼岸,https://weibo.com/u/3613052563,,我爱你 你预料之内,其他,f,344,1033,5562,"3,538","14,120","1,690","19,348"
20,5142319705099462,1897723622,2025-03-09 21:15:15,感谢分享,5142395600505746,0,0,感谢分享,来自湖南,7879182358,拿铁很酷2012,https://weibo.com/u/7879182358,,,北京 东城区,f,13,120,155,14,2,154,170
21,5142319705099462,1897723622,2025-03-09 20:53:30,关注,5142390126938004,0,0,关注,来自山东,7967937273,D_Y__X___,https://weibo.com/u/7967937273,,,山东,f,387,562,107,3,0,13,16
22,5142319705099462,1897723622,2025-03-09 20:47:46,关注,5142388684624485,0,0,关注,来自上海,5081108111,怦然心动kr,https://weibo.com/u/5081108111,,敞敞亮亮🥰🥰溺爱小狗🥺,其他,f,91,363,18491,"1,643","56,997","1,425","60,065"
23,5142319705099462,1897723622,2025-03-09 20:08:20,关注！,5142378761164749,0,0,关注！,来自广东,2549939104,吃西瓜不吐芒果核,https://weibo.com/u/2549939104,,逆风如解意 保佑两狗平安顺遂 得偿所愿,广东,f,111,279,826,91,13,420,524
24,5142319705099462,1897723622,2025-03-09 19:57:57,关注,5142376148109950,0,0,关注,来自广东,7309659718,内向的法式小面包,https://weibo.com/u/7309659718,,wcwalwk lwkwawc,广东 广州,f,260,457,3381,969,"1,092","4,051","6,112"
25,5142319705099462,1897723622,2025-03-09 19:48:02,关注,5142373650666719,0,0,关注,来自广西,7616793649,波泼摸佛鹅,https://weibo.com/u/7616793649,,高贵路人 gay abo,其他,f,8,316,3714,115,76,303,494
26,5142319705099462,1897723622,2025-03-09 19:20:10,关注,5142366638048840,0,0,关注,来自黑龙江,7842615910,OU_Kaku,https://weibo.com/u/7842615910,,社恐 超级超级社恐,黑龙江,f,2,95,383,638,720,331,"1,689"
27,5142319705099462,1897723622,2025-03-09 18:29:33,"关注<img alt=""[赢牛奶]"" title=""[赢牛奶]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/9c/2021_yingniunai_org.png"" />",5142353899687348,0,0,关注[赢牛奶],来自湖北,7621581305,雪球球雪球,https://weibo.com/u/7621581305,,温柔的蓝色潮汐,其他,f,5,64,721,357,39,154,550
