,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5147278055837021,5957754284,2025-03-23 20:29:00,"还有一些公务员招考名单里，同样的岗位同样的工作内容，筛选女性只有一个名额，男的就有两三个的…搞不懂是为什么<img alt=""[疑问]"" title=""[疑问]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/b8/2018new_ningwen_org.png"" />",来自浙江,5147457391958394,1,0,还有一些公务员招考名单里，同样的岗位同样的工作内容，筛选女性只有一个名额，男的就有两三个的…搞不懂是为什么[疑问],3178006520,想去冰岛吃汤圆,https://weibo.com/u/3178006520,,海外 卢森堡,f,110,337,461,"1,207",1,"1,056","2,264"
1,5147278055837021,5957754284,2025-03-23 09:25:45,"碰过类似情况，男生165，我172，然后我从下到上扫视了一下他之后，大家都沉默了<img alt=""[嘻嘻]"" title=""[嘻嘻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/33/2018new_xixi_org.png"" />",来自上海,5147290478053495,2,0,碰过类似情况，男生165，我172，然后我从下到上扫视了一下他之后，大家都沉默了[嘻嘻],1108447017,candiccex,https://weibo.com/u/1108447017,累就对了，舒服是留给死人的🙂,其他,f,137,64,53,70,0,92,162
2,5147278055837021,5957754284,2025-03-24 01:06:46,我在检工作的家里人说 检想招男生是因为很多ga移送起诉的案子检提审女生震不住那些犯人 他们容易翻供……我…………,来自安徽,5147527292913602,1,0,我在检工作的家里人说 检想招男生是因为很多ga移送起诉的案子检提审女生震不住那些犯人 他们容易翻供……我…………,5035192269,健健康康顺顺利利的,https://weibo.com/u/5035192269,远大前程  我自己挣,湖北 荆州,f,501,1555,4207,"4,768",167,"10,108","15,043"
3,5147278055837021,5957754284,2025-03-23 16:02:45,"这话是怎么理直气壮地从他嘴里说出来的<img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" />",来自山东,5147390388209938,1,0,这话是怎么理直气壮地从他嘴里说出来的[二哈],6192164526,致力于扰乱实验结果的outlier,https://weibo.com/u/6192164526,全部喀嚓,海外 丹麦,f,19,152,811,271,1,252,524
4,5147278055837021,5957754284,2025-03-23 21:01:19,我也听过，冷笑一声,来自广东,5147465524976332,0,0,我也听过，冷笑一声,7640089830,夏日亐,https://weibo.com/u/7640089830,先有自我，才无枷锁。,其他,f,1091,314,1006,"4,588",131,"11,404","16,123"
