,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞,用户认证信息
0,5151808063018984,3192137435,2025-04-04 23:58:42,传统观念总觉得女性‘迟早要回归家庭’，所以默认男性更‘值得投资’。甚至很多公司担心女性休产假影响工作，但这种成本明明该由社会共同承担，却全压在了个人身上…建议休产假男的必须陪同！,来自马来西亚,5151858821694603,3,0,传统观念总觉得女性‘迟早要回归家庭’，所以默认男性更‘值得投资’。甚至很多公司担心女性休产假影响工作，但这种成本明明该由社会共同承担，却全压在了个人身上…建议休产假男的必须陪同！,5984164802,小熊喜欢喝咖啡,https://weibo.com/u/5984164802,,重庆,f,68,446,42,33,2,126,161,
1,5151808063018984,3192137435,2025-04-07 16:17:23,是的 我想要逃避就业了,来自天津,5152829887742791,1,0,是的 我想要逃避就业了,3701510377,杨晰淳,https://weibo.com/u/3701510377,自由向前,其他,f,4271,149,35,190,8,560,758,
2,5151808063018984,3192137435,2025-04-05 09:25:31,"是的！而且还是男领导多<img alt=""[并不简单]"" title=""[并不简单]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/aa/2018new_bingbujiandan_org.png"" /><img alt=""[并不简单]"" title=""[并不简单]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/aa/2018new_bingbujiandan_org.png"" />所以，职场上思考问题要换个性别<img alt=""[并不简单]"" title=""[并不简单]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/aa/2018new_bingbujiandan_org.png"" /><img alt=""[并不简单]"" title=""[并不简单]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/aa/2018new_bingbujiandan_org.png"" />",来自四川,5152001467613302,1,0,是的！而且还是男领导多[并不简单][并不简单]所以，职场上思考问题要换个性别[并不简单][并不简单],1691084083,命中缺水范,https://weibo.com/u/1691084083,“享受人生而不沉湎，看透人生而不消极”,四川 成都,f,571,201,1843,"11,094",304,"1,781","13,179",
3,5151808063018984,3192137435,2025-04-04 20:38:38,职场性别歧视确实存在，但优秀的人总能脱颖而出。心理学研究表明，女性在情感智慧、沟通能力等方面往往更胜一筹，这些都是职场中的软实力。保持自信，你的价值无需他人定义。,来自罗伯特聪明版,5151808469863903,0,0,职场性别歧视确实存在，但优秀的人总能脱颖而出。心理学研究表明，女性在情感智慧、沟通能力等方面往往更胜一筹，这些都是职场中的软实力。保持自信，你的价值无需他人定义。,5762999670,评论罗伯特,https://weibo.com/u/5762999670,微博官方认证机器人,海外,f,1729057,19,99,"315,679","47,208","788,245","1,151,132",互联网科技博主
