,comments_level_1_mid,main_body_uid,发布时间,处理内容,评论地点,mid,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞,用户认证信息
14,5045456283632766,1482739370,24年06月15日 10:54,那就告政府！,来自上海,5045481895625986,1,那就告政府！,1553387427,雄鸡何时复海棠,https://weibo.com/u/1553387427,戳穿一切大忽悠，还世事真相！,上海,m,543,872,248,57,7,76,140,nan
15,5045456283632766,1482739370,24年06月15日 19:30,你能告的赢告的倒政府吗？,来自天津,5045611682337702,2,你能告的赢告的倒政府吗？,6896817723,QQ同名逗逗隆,https://weibo.com/u/6896817723,,其他,m,591,379,1548,99,24,195,318,nan
16,5045456283632766,1482739370,24年06月15日 19:29,你告的赢政府吗？,来自天津,5045611535534550,1,你告的赢政府吗？,6896817723,QQ同名逗逗隆,https://weibo.com/u/6896817723,,其他,m,591,379,1548,99,24,195,318,nan
17,5044208362853097,1482739370,24年06月12日 10:44,现在房价跌，地方政府债台高筑,来自江苏,5044392085950043,3,现在房价跌，地方政府债台高筑,6353395823,Edgarfou,https://weibo.com/u/6353395823,,上海,m,366,261,5355,173,91,119,383,nan
18,5044208362853097,1482739370,24年06月12日 15:55,"回复<a href=/n/Edgarfou usercard=""name=@Edgarfou"">@Edgarfou</a>:怕害得泽大的号没了<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />，低调低调<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自广东,5044470433188570,2,回复@Edgarfou:怕害得泽大的号没了[允悲]，低调低调[允悲],1466550221,tac-enasni,https://weibo.com/u/1466550221,往而不来非礼也,广东 汕头,m,199,379,1017,372,59,157,588,nan
19,5154015134620771,5236261440,25年04月11日 06:42,"为啥不是女生玩套路呢，拿到房子就离婚变现呢<img alt=""[嘻嘻]"" title=""[嘻嘻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/33/2018new_xixi_org.png"" />",来自上海,5154134875178143,53,为啥不是女生玩套路呢，拿到房子就离婚变现呢[嘻嘻],5677237597,点点调调电电,https://weibo.com/u/5677237597,,其他,m,4,49,69,0,0,12,12,nan
20,5154015134620771,5236261440,25年04月11日 07:53,"拿婚姻诈骗男性，3个月骗到1500万<img alt=""[污]"" title=""[污]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/10/2018new_wu_org.png"" /><img alt=""[污]"" title=""[污]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/10/2018new_wu_org.png"" /><img alt=""[污]"" title=""[污]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/10/2018new_wu_org.png"" />",来自甘肃,5154152510390835,38,拿婚姻诈骗男性，3个月骗到1500万[污][污][污],7885862071,番茄大王嘿哈,https://weibo.com/u/7885862071,一事无成人渐老，一文不值何消说🤪🤪🤪,其他,m,71,62,50,2,0,3,5,nan
21,5154015134620771,5236261440,25年04月11日 08:50,❓难道不是女生骗财吗？,来自云南,5154167047852442,8,❓难道不是女生骗财吗？,5932121470,用户5932121470,https://weibo.com/u/5932121470,,其他,m,65,324,44,6,0,31,37,nan
22,5154015134620771,5236261440,25年04月11日 13:28,有命花吗？,来自江西,5154237048426507,1,有命花吗？,6477440855,风清扬LZS,https://weibo.com/u/6477440855,乘风破浪会有时，直挂云帆济沧海……,其他,m,51,180,93,7,5,95,107,nan
23,5154015134620771,5236261440,25年04月11日 08:51,这三观？,来自云南,5154167316549418,4,这三观？,5932121470,用户5932121470,https://weibo.com/u/5932121470,,其他,m,65,324,44,6,0,31,37,nan
24,5154015134620771,5236261440,25年04月11日 07:49,"<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />就得白送才行？",来自山东,5154151702726166,3,[doge]就得白送才行？,7868787663,你先别急___,https://weibo.com/u/7868787663,,山东,m,1,112,1,0,0,0,0,nan
25,5154015134620771,5236261440,25年04月11日 14:31,"结婚三个月分走1500万还算被套路吗<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />，这辈子有几个人能赚1500万",来自福建,5154252855184874,2,结婚三个月分走1500万还算被套路吗[允悲]，这辈子有几个人能赚1500万,2903311521,王爪爪抓啊抓,https://weibo.com/u/2903311521,嘻嘻,福建 泉州,f,106,251,1053,233,18,587,838,nan
26,5154015134620771,5236261440,25年04月11日 12:47,物归原主，她拿着1500万走还回1500万，除了名义上背债？钱她是一分没多一分没少,来自福建,5154226678793102,1,物归原主，她拿着1500万走还回1500万，除了名义上背债？钱她是一分没多一分没少,7854467476,微白-su,https://weibo.com/u/7854467476,且祝他人之疑目如盏盏鬼火，大胆地去走你的夜路,福建 厦门,f,1,41,64,0,0,3,3,nan
27,5154015134620771,5236261440,25年04月11日 07:16,一个男拳师,来自山西,5154143278728578,0,一个男拳师,1431763011,咿呀a靛羽风莲,https://weibo.com/u/1431763011,飞羽腾云汉，振翼凌昆仑；俯涉绿水涧，仰划九峦峰。,山西 太原,m,383,467,3094,107,52,121,280,nan
28,5154170412205766,5236261440,25年04月11日 11:14,🐶，有可能，,来自湖北,5154203263306259,0,🐶，有可能，,7823154694,用户7823154694,https://weibo.com/u/7823154694,,广东 深圳,m,22,93,11,1,0,15,16,nan
29,5153958365763296,5236261440,25年04月11日 06:43,"合着就男方吃亏是吧，女生玩套路拿到房子就离婚变现<img alt=""[嘻嘻]"" title=""[嘻嘻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/33/2018new_xixi_org.png"" />",来自上海,5154135038230594,3,合着就男方吃亏是吧，女生玩套路拿到房子就离婚变现[嘻嘻],5677237597,点点调调电电,https://weibo.com/u/5677237597,,其他,m,4,49,69,0,0,12,12,nan
30,5153958365763296,5236261440,25年04月12日 09:30,这女的应该被枪毙,来自辽宁,5154539368088883,0,这女的应该被枪毙,7742636027,AAAxmax,https://weibo.com/u/7742636027,,其他,m,5,33,20,3,0,2,5,nan
31,5156114585095748,5659598386,25年04月16日 23:07,"这是打人家脸啊<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />  有些人只会发泄情绪，你却逼他解决问题<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自福建,5156194570997027,44,这是打人家脸啊[允悲]  有些人只会发泄情绪，你却逼他解决问题[doge],6396663396,杂学家许公子,https://weibo.com/u/6396663396,高阶intj。杂学，什么都学 股权收集者/旅行/运动/阅读/美食/心理学 拥有市场，而不是试图击败市场。,其他,m,255,1204,868,161,25,248,434,nan
32,5156114585095748,5659598386,25年04月16日 22:37,好的,来自云南,5156187133708849,0,好的,2168151121,21柚子,https://weibo.com/u/2168151121,好想爱这个世界啊,其他,f,94,679,1312,255,25,238,518,nan
33,5156114585095748,5659598386,25年04月17日 11:47,"回复<a href=/n/李靖夜奔 usercard=""name=@李靖夜奔"">@李靖夜奔</a>:我干不下去的时候就掏出手机买张彩票",来自云南,5156385840174026,0,回复@李靖夜奔:我干不下去的时候就掏出手机买张彩票,2168151121,21柚子,https://weibo.com/u/2168151121,好想爱这个世界啊,其他,f,94,679,1312,255,25,238,518,nan
34,5156114585095748,5659598386,25年04月17日 09:09,"回复<a href=/n/21柚子 usercard=""name=@21柚子"">@21柚子</a>:没事，我自己也能力有限，我连自己都骂<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />",来自宁夏,5156346145276087,0,回复@21柚子:没事，我自己也能力有限，我连自己都骂[笑cry],2377854345,李靖夜奔,https://weibo.com/u/2377854345,原@小课堂,宁夏 银川,m,569,609,1376,nan,nan,nan,nan,nan
