,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户认证信息,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5150719288545760,5043872389,2025-04-03 14:47:48,码住,来自四川,5151357792948454,0,0,码住,6243146585,上官美姨,https://weibo.com/u/6243146585,美妆博主,关注美姨，每个女孩儿都能变美丽！,广东,f,1135040,117,32314,"149,971","913,420","4,090,339","5,153,730"
1,5150719288545760,5043872389,2025-04-02 19:46:35,牛！,来自四川,5151070596372430,0,0,牛！,1673365057,好物收纳箱,https://weibo.com/u/1673365057,美妆博主 时尚美妆视频自媒体,合作私信,其他,f,1425958,32,42728,"867,522","3,481,889","20,037,864","24,387,275"
2,5150719288545760,5043872389,2025-04-02 13:24:28,好会说！！,来自四川,5150974437753037,0,0,好会说！！,1610658835,百亿姐的好物分享,https://weibo.com/u/1610658835,美妆博主,美妆 | 护肤 欢迎投稿,其他,f,736466,79,36012,"415,824","1,635,532","10,720,892","12,772,248"
3,5150719288545760,5043872389,2025-04-02 08:20:48,"<a href=/n/我的印象笔记 usercard=""name=@我的印象笔记"">@我的印象笔记</a>",来自安徽,5150898017534256,0,0,@我的印象笔记,7711923063,盛夏未央liliy,https://weibo.com/u/7711923063,,欲买桂花同载酒，终不似少年游,安徽,f,5,64,507,7,2,4,13
4,5150719288545760,5043872389,2025-04-10 00:20:40,mark,来自湖南,5153676285711110,0,0,mark,2126175041,微蓝U,https://weibo.com/u/2126175041,,,其他,f,245,414,89,81,2,27,110
5,5150719288545760,5043872389,2025-04-09 02:31:53,转发微博,来自海南,5153346919858654,0,0,转发微博,3205219873,Allybeby,https://weibo.com/u/3205219873,,♡爱花♡爱美食♡爱旅游♡爱生活♡♡♡,海南 海口,f,368,3399,6975,34,88,254,376
6,5150719288545760,5043872389,2025-04-05 18:21:43,吗,来自中国香港,5152136400996022,0,0,吗,5029071777,奥利奥牛奶泡芙,https://weibo.com/u/5029071777,,你看到的我看不到，我看到的你看不到,其他,f,138,461,1276,625,15,"1,741","2,381"
7,5150719288545760,5043872389,2025-04-04 23:01:16,码住,来自天津,5151844365505061,0,1,码住,7495004896,我爱吃烤肉·,https://weibo.com/u/7495004896,,,河北 邢台,f,0,117,6,0,0,2,2
8,5150719288545760,5043872389,2025-04-03 19:50:40,"<img alt=""[666]"" title=""[666]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6c/2022_666_org.png"" />",来自四川,5151434011840430,0,0,[666],1173512813,然后小雨,https://weibo.com/u/1173512813,,so sad……,其他,f,152,750,2490,"2,444",451,367,"3,262"
9,5150719288545760,5043872389,2025-04-03 18:59:13,🐎一个，高情商,来自辽宁,5151421062187918,0,0,🐎一个，高情商,2832114140,羊群发大财,https://weibo.com/u/2832114140,,昕之所系 一见倾❤ 镇魂,辽宁,f,159,419,841,120,22,261,403
10,5150719288545760,5043872389,2025-04-03 17:50:51,如何提高情商,来自广东,5151403857938320,0,0,如何提高情商,3535389425,芳仔108,https://weibo.com/u/3535389425,,,广东 中山,f,49,915,13369,"1,129",492,"2,585","4,206"
11,5150719288545760,5043872389,2025-04-03 15:58:56,这份总结是真的吗 还是编的,来自广西,5151375694238935,0,0,这份总结是真的吗 还是编的,5610058034,小唐一茶,https://weibo.com/u/5610058034,,热爱我的热爱,其他,f,184,194,634,15,5,94,114
12,5150719288545760,5043872389,2025-04-03 06:58:01,转发微博,来自湖南,5151239567836442,0,0,转发微博,5360460959,好运常在1012,https://weibo.com/u/5360460959,,,湖南,f,53,536,2961,324,9,746,"1,079"
13,5150719288545760,5043872389,2025-04-03 05:16:24,"第一张是“夸奖”，不是夸张<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />",来自安徽,5151213993853188,0,0,第一张是“夸奖”，不是夸张[笑cry],2710154207,幸运欣欣子1,https://weibo.com/u/2710154207,,海外直邮+旅游的朋友可以私信我 🌿爱阅读、聊天、交友，黎贝卡的女人互相分享好物🌿PS互换闲置好物。,广西 北海,f,143,596,3016,161,65,57,283
14,5150719288545760,5043872389,2025-04-02 17:20:10,码住,来自广东,5151033753338090,0,1,码住,3443294732,丫丫-娅Nan,https://weibo.com/u/3443294732,,为热爱全力以赴,广东,f,44,84,587,81,12,173,266
15,5150719288545760,5043872389,2025-04-02 16:21:18,转发微博,来自北京,5151018934340780,0,0,转发微博,6069137222,爱蕊瑶,https://weibo.com/u/6069137222,,,其他,f,13,678,1018,68,5,743,816
16,5150719288545760,5043872389,2025-04-03 17:10:27,我就是不懂人情世故，这些话学不来！,来自湖北,5151393690159183,0,0,我就是不懂人情世故，这些话学不来！,7988537030,蒹稼,https://weibo.com/u/7988537030,,,湖北,f,21,45,19,4,0,1,5
17,5150719288545760,5043872389,2025-04-03 13:19:49,"打印下来<img alt=""[污]"" title=""[污]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/10/2018new_wu_org.png"" />",来自山东,5151335650429228,0,0,打印下来[污],7983128310,mountain0805,https://weibo.com/u/7983128310,,,其他,f,1,11,20,14,1,7,22
18,5150719288545760,5043872389,2025-04-03 19:03:18,"<a href=""//s.weibo.com/weibo?q=%23%E6%83%85%E5%95%86%23"" target=""_blank"">#情商#</a> ",来自江苏,5151422094246587,0,0,#情商# ,7878408629,用户7878408629,https://weibo.com/u/7878408629,,,其他,f,1,84,211,18,0,39,57
19,5150719288545760,5043872389,2025-04-03 05:22:46,好笔记 值得上笔记感悟,来自安徽,5151215596339658,0,0,好笔记 值得上笔记感悟,2710154207,幸运欣欣子1,https://weibo.com/u/2710154207,,海外直邮+旅游的朋友可以私信我 🌿爱阅读、聊天、交友，黎贝卡的女人互相分享好物🌿PS互换闲置好物。,广西 北海,f,143,596,3016,161,65,57,283
