,main_body_mid,main_body_uid,发布时间,处理内容,mid,回复数量,点赞数量,原生内容,评论地点,uid,用户昵称,用户主页,用户认证信息,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5081757667299294,5257157053,2024-09-23 13:23:17,"嘿！你也在关注“山花烂漫时”吗？快戳<a target=""_blank"" href=""https://m.weibo.cn/z/recommend/aggregation?activity_id=103303&showmenu=0&luicode=10000002&ext=activity_theme:comment_url""><img class=""icon-link"" title=""http://t.cn/A6RRR1Ek"" src=""https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""/>《山花烂漫时》主创演员</a>进入专题页查看并关注相关博主吧，包含<a href=/n/费振翔 usercard=""name=@费振翔"">@费振翔</a> 、<a href=/n/编剧袁子弹 usercard=""name=@编剧袁子弹"">@编剧袁子弹</a> 等14位博主哦，热门精彩内容不错过！ <a target=""_blank"" data-pid=006QFviily1htdvacu1qij30ji06stan  href=""https://wx4.sinaimg.cn/large/006QFviily1htdvacu1qij30ji06stan.jpg""><img class=""icon-link"" title=""http://t.cn/A6ELBFtU"" src=""https://h5.sinaimg.cn/upload/2015/01/21/20/timeline_card_small_photo_default.png""/>查看图片</a>",5081758053959175,0,0,嘿！你也在关注“山花烂漫时”吗？快戳http://t.cn/A6RRR1Ek进入专题页查看并关注相关博主吧，包含@费振翔 、@编剧袁子弹 等14位博主哦，热门精彩内容不错过！ http://t.cn/A6ELBFtU,,5406006781,微博电视剧,https://weibo.com/u/5406006781,微博电视剧官方微博,最新、最热、最全剧集资讯与互动官方微博,北京,m,12544989,3143,88610,,,,
1,5081757667299294,5257157053,2024-09-23 16:08:56,"这剧越看越上头，特意办了个18块160𝐆的套歺，还开了视频会员，今晚可以嘎嘎刷剧了<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />",5081799743242448,2,3,这剧越看越上头，特意办了个18块160𝐆的套歺，还开了视频会员，今晚可以嘎嘎刷剧了[打call],来自湖北,1836666227,布布不想起床,https://weibo.com/u/1836666227,,生如白驹过隙，此身乃是草芥，任死神随意收割。,北京 石景山区,f,287,1035,52,22,0,1,23
2,5081757667299294,5257157053,2024-09-23 14:40:31,不得不说宋佳的演技太绝了。,5081777489579299,0,3,不得不说宋佳的演技太绝了。,来自北京,7415424997,一生往事两杯茶,https://weibo.com/u/7415424997,,小时候我们词不达意，长大了，我们言不由衷！,北京,f,567,2087,27145,193,157,195,545
3,5081757667299294,5257157053,2024-09-23 13:37:39,是啊真的是演出来了那份感情,5081761669711512,0,2,是啊真的是演出来了那份感情,来自上海,5655080430,Sun宣宣宣,https://weibo.com/u/5655080430,化妆造型答主,真的爱你不是骗你,黑龙江,f,12464,5954,46134,915,"1,228","1,305","3,448"
4,5081757667299294,5257157053,2024-09-23 14:33:55,"<a href=""//s.weibo.com/weibo?q=%23360%E8%A1%8C%20%E8%A1%8C%E8%A1%8C%E6%9C%89%E5%AE%8B%E4%BD%B3%23"" target=""_blank"">#360行 行行有宋佳#</a>每一个角色都那么演的好出色",5081775829160049,0,0,#360行 行行有宋佳#每一个角色都那么演的好出色,来自贵州,7947062270,今日目标拿下一百个帅哥,https://weibo.com/u/7947062270,,,其他,f,9,191,1373,31,9,16,56
5,5081757667299294,5257157053,2024-09-23 14:30:18,"<a href=""//s.weibo.com/weibo?q=%23360%E8%A1%8C%20%E8%A1%8C%E8%A1%8C%E6%9C%89%E5%AE%8B%E4%BD%B3%23"" target=""_blank"">#360行 行行有宋佳#</a>这演技是真的没事，太精彩了",5081774923449072,0,0,#360行 行行有宋佳#这演技是真的没事，太精彩了,来自贵州,7947500340,锐儿忠诚粉丝,https://weibo.com/u/7947500340,,,贵州,f,10,229,1583,29,13,17,59
6,5081757667299294,5257157053,2024-09-23 13:35:23,宋佳出色诠释张老师，值得肯定,5081761098238631,0,0,宋佳出色诠释张老师，值得肯定,来自广东,7895244199,今天阳光休假,https://weibo.com/u/7895244199,,,福建 龙岩,f,984,5562,71467,,,,
7,5081757667299294,5257157053,2024-09-23 13:34:59,演技真的是出神入化呀，实力派。,5081760998361719,0,1,演技真的是出神入化呀，实力派。,来自广东,6469611947,于香公主,https://weibo.com/u/6469611947,,开心最重要,其他,f,837,1101,73432,816,296,"1,494","2,606"
8,5081757667299294,5257157053,2024-09-23 13:34:36,这个表现力特别的强,5081760899536106,0,0,这个表现力特别的强,来自青海,5709434549,下来的眼泪,https://weibo.com/u/5709434549,,,其他,m,168,289,17502,208,201,185,594
9,5081757667299294,5257157053,2024-09-23 13:34:25,表现力真的是非常真实。,5081760854968207,0,0,表现力真的是非常真实。,来自内蒙古,7888563154,海阔天空373,https://weibo.com/u/7888563154,,,黑龙江 大兴安岭,f,168,1258,11945,209,160,111,480
10,5081757667299294,5257157053,2024-09-23 13:34:22,演的很棒，细节抓的也到位,5081760843173040,0,0,演的很棒，细节抓的也到位,来自广东,6469878393,佛系死勒,https://weibo.com/u/6469878393,娱乐博主 微博原创视频博主,喜欢追剧，看帅哥美女磕各种cp！纯安利不黑,其他,f,4398,1602,60572,"14,172","4,425","169,304","187,901"
11,5081757667299294,5257157053,2024-09-23 13:33:51,被这样的演技真的感动到了,5081760712886038,0,0,被这样的演技真的感动到了,来自青海,5830888224,不要焦虑呦,https://weibo.com/u/5830888224,,,其他,m,193,318,20444,232,225,192,649
12,5081757667299294,5257157053,2024-09-23 13:33:03,小花老师真的特别的励志,5081760511561194,0,0,小花老师真的特别的励志,来自青海,6362453178,有裂痕的爱情不属于我,https://weibo.com/u/6362453178,,,宁夏 固原,f,41,390,22981,246,252,262,760
13,5081757667299294,5257157053,2024-09-23 13:32:43,这真的是值得我们去看看的很真实的,5081760427676171,0,0,这真的是值得我们去看看的很真实的,来自青海,7902147731,如果错过的都能错过,https://weibo.com/u/7902147731,,,青海,f,39,378,24684,268,283,306,857
14,5081757667299294,5257157053,2024-09-23 13:32:35,这演技真的是非常精湛。,5081760398574025,0,0,这演技真的是非常精湛。,来自内蒙古,7843985313,岁月静好天天吃饱hai,https://weibo.com/u/7843985313,,光阴的遇见里，总有一场缘分在宿命里开出了一树惊艳的洁白。  不见，不散，不忘☁️……,辽宁,f,392,1208,8294,406,108,272,786
15,5081757667299294,5257157053,2024-09-23 13:31:50,这真的是完全被吸引到了。,5081760203278416,0,0,这真的是完全被吸引到了。,来自内蒙古,7371177249,自品人生555,https://weibo.com/u/7371177249,,,其他,m,455,1004,8646,129,116,86,331
16,5081757667299294,5257157053,2024-09-23 13:31:25,这演技真的是特别到位。,5081760098422848,0,0,这演技真的是特别到位。,来自内蒙古,7848312062,墨有余2023,https://weibo.com/u/7848312062,,时间，是个好东西，可以治愈一切烦恼，治愈一切不开心的事。✨,黑龙江,f,330,1472,11422,405,118,131,654
17,5081757667299294,5257157053,2024-09-23 13:30:09,用心地演绎自己的角色更优秀,5081759785943335,0,0,用心地演绎自己的角色更优秀,来自山西,7829136055,买菜的妞,https://weibo.com/u/7829136055,,爱自己多一点,其他,f,113,885,23511,199,171,99,469
18,5081757667299294,5257157053,2024-09-23 13:29:51,表现力好真实期待更多,5081759708610729,0,0,表现力好真实期待更多,来自辽宁,7470061857,xin就该晒晒太阳,https://weibo.com/u/7470061857,,永远不要在意任何人的目光 这辈子为自己而活,其他,f,180,2335,77089,381,"1,751",269,"2,401"
19,5081757667299294,5257157053,2024-09-23 13:29:44,这个共情能力真的是特别的强了,5081759677417888,0,0,这个共情能力真的是特别的强了,来自青海,5714662275,天蝎座梦幻巴黎,https://weibo.com/u/5714662275,,在这个冷暖自知的世界，要自己照顾好自己,青海 海北,f,352,2935,164671,639,"1,206","1,033","2,878"
20,5081757667299294,5257157053,2024-09-23 13:29:36,这部作品真的是特别好看。,5081759641241758,0,0,这部作品真的是特别好看。,来自内蒙古,7914846833,中华天耀,https://weibo.com/u/7914846833,,,辽宁 营口,f,381,1180,9567,,,,
21,5081757667299294,5257157053,2024-09-23 13:28:35,姐姐真是太优秀了，非常喜欢。,5081759391940919,0,0,姐姐真是太优秀了，非常喜欢。,来自内蒙古,7877368006,万里无云海,https://weibo.com/u/7877368006,,,辽宁 营口,m,834,1522,18579,,,,
22,5081757667299294,5257157053,2024-09-23 13:28:16,可以完美的挑战自我,5081759312511133,0,0,可以完美的挑战自我,来自山西,6329878771,花雀雨凉,https://weibo.com/u/6329878771,,岁岁年年花相似，年年岁岁人不同,其他,m,374,1012,19336,219,260,246,725
23,5081757667299294,5257157053,2024-09-23 13:28:09,各种角色都能轻松拿捏,5081759279220712,0,0,各种角色都能轻松拿捏,来自山西,7733843194,吧啦吧啦吒儿,https://weibo.com/u/7733843194,超话主持人（张二骁粉丝聚集地超话）,心中有光，永远向阳,北京,f,635,3045,71220,764,372,657,"1,793"
24,5081757667299294,5257157053,2024-09-23 13:28:04,我一直都很喜欢优秀的宋佳姐姐,5081759255628408,0,0,我一直都很喜欢优秀的宋佳姐姐,来自山西,7925046452,霜冻柿子看大海,https://weibo.com/u/7925046452,,,其他,f,92,552,17756,194,275,159,628
25,5081757667299294,5257157053,2024-09-23 13:27:58,演技太棒了，未来可期！！！,5081759232559479,0,0,演技太棒了，未来可期！！！,来自江苏,7884342938,迪亚肉包包包包,https://weibo.com/u/7884342938,,,江苏 苏州,f,147,635,22720,305,212,291,808
26,5081757667299294,5257157053,2024-09-23 13:27:49,又一次挑战了完美的自己啊,5081759192451726,0,0,又一次挑战了完美的自己啊,来自河北,7753291687,竹妃凌雪,https://weibo.com/u/7753291687,,别留遗憾，有梦就做！,河北,f,477,1952,112705,764,"1,314","5,318","7,396"
27,5081757667299294,5257157053,2024-09-23 13:27:44,在这部作品中特别的敬业。,5081759171740988,0,0,在这部作品中特别的敬业。,来自河北,5668263485,赵小兔886,https://weibo.com/u/5668263485,超话小主持人（励志人生感悟超话）,我能有多坚强，我又没比别人多一个心脏．,河北 邯郸,f,1840,3283,156214,"1,110",822,"2,306","4,238"
28,5081757667299294,5257157053,2024-09-23 13:27:35,好喜欢这部电视剧,5081759140544700,0,0,好喜欢这部电视剧,来自辽宁,7803316535,每日锦鲤必定是我,https://weibo.com/u/7803316535,,零碎的岛屿也能找到海,其他,f,127,1226,26459,266,71,132,469
29,5081757667299294,5257157053,2024-09-23 13:27:32,每一个角色，都极具说服力,5081759122982645,0,0,每一个角色，都极具说服力,来自江苏,6405940077,清江水清清清,https://weibo.com/u/6405940077,超话小主持人（悠然梅心语超话）,无,其他,m,21470,12328,85720,,,,
30,5081757667299294,5257157053,2024-09-23 13:27:23,剧中表现的相当出色。,5081759085499763,0,0,剧中表现的相当出色。,来自河北,7755067557,亚奇洛贝x6,https://weibo.com/u/7755067557,超话小主持人（文雅每日超话）,若不是心宽似海，哪有人生风平浪静。,河北,f,410,1601,70246,758,275,454,"1,487"
31,5081757667299294,5257157053,2024-09-23 13:27:16,他的演技一直都是那么的好。,5081759055873927,0,0,他的演技一直都是那么的好。,来自河北,3316714710,柠檬糖的味道x8,https://weibo.com/u/3316714710,超话小主持人（邯郸超话）,你若安好，便是晴天,河北,f,985,1971,47985,492,247,364,"1,103"
32,5081757667299294,5257157053,2024-09-23 13:27:11,宋佳每一个角色都摸索透了，所以演的很真实,5081759039619549,0,0,宋佳每一个角色都摸索透了，所以演的很真实,来自安徽,7276361799,小雯微,https://weibo.com/u/7276361799,,,其他,f,1331,2287,20566,256,197,223,676
33,5081757667299294,5257157053,2024-09-23 13:27:08,这演技真的是非常不错。,5081759020483710,0,0,这演技真的是非常不错。,来自内蒙古,6816154027,若兰cx,https://weibo.com/u/6816154027,,等着别人来爱你，不如自己努力爱自己,其他,f,1100,3169,24003,,,,
34,5081757667299294,5257157053,2024-09-23 13:26:26,苏佳演的这个角色非常的深入人心,5081758846422228,0,0,苏佳演的这个角色非常的深入人心,来自浙江,1827743114,最爱吃炸鸡的我,https://weibo.com/u/1827743114,,爱如火,四川,f,172,1002,36250,"20,693",169,813,"21,675"
35,5081757667299294,5257157053,2024-09-23 13:26:26,超级的喜欢这样精彩的巨人,5081758846160665,0,0,超级的喜欢这样精彩的巨人,来自陕西,5213857078,福气满满乐开怀,https://weibo.com/u/5213857078,超话小主持人（峰叶情超话）,爱过你就后悔了,辽宁,f,1788,2611,82474,463,788,181,"1,432"
