,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户认证信息,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5131729669194808,2334728517,2025-02-08 11:09:37,"冲鸭<img alt=""[彩虹屁]"" title=""[彩虹屁]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4b/2022_praise_org.png"" />",来自北京,5131733942929336,0,4,冲鸭[彩虹屁],2966066805,田甜夏雪,https://weibo.com/u/2966066805,电影博主 超话粉丝钻咖（博君一肖超话）,剑桥创意写作，哈佛莎士比亚文学毕业 TEFL/TESOL证书,北京,f,2281,1611,5886,"61,291","1,498","65,070","127,859"
1,5131729669194808,2334728517,2025-02-08 21:01:37,"对比好明显<img alt=""[哈哈]"" title=""[哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8f/2018new_haha_org.png"" />",来自河南,5131882920675054,0,2,对比好明显[哈哈],7334544917,别漾夏至,https://weibo.com/u/7334544917,超话粉丝钻咖（博君一肖超话）,肖皇博帝顺顺利利！健健康康！平安喜乐！越来越好！,河南,f,13190,1136,16692,"609,838","44,550","1,062,549","1,716,937"
2,5131729669194808,2334728517,2025-02-08 16:05:11,哇,来自湖北,5131808326549552,0,1,哇,7392191262,默默·Momo,https://weibo.com/u/7392191262,超话粉丝钻咖（博君一肖超话）,陪着ggdd走完ylq，就完成了微博的使命了。,湖北,f,16962,1363,13835,"970,310","45,207","1,488,914","2,504,431"
3,5131729669194808,2334728517,2025-02-08 12:55:43,感谢分享,来自湖北,5131760641246424,0,1,感谢分享,5638368302,青公子V_,https://weibo.com/u/5638368302,微博原创视频博主,保持炽热，做人需向宽出行，做事要往深处去,湖北,f,19789,1000,26083,"710,521","72,974","1,105,946","1,889,441"
4,5131729669194808,2334728517,2025-02-08 11:36:21,职场规则,来自黑龙江,5131740669285495,0,1,职场规则,7880289765,好想变成一只鸟o,https://weibo.com/u/7880289765,娱乐博主 超话粉丝钻咖（博君一肖超话） 微博剪辑视频博主,有事请先sx沟通，禁单曲，可互移，单曲lh,其他,f,1239,1435,6211,"98,958",705,"102,323","201,986"
5,5131729669194808,2334728517,2025-02-08 10:55:03,新年新气象,来自安徽,5131730272914742,0,12,新年新气象,5150424470,一抹搞笑,https://weibo.com/u/5150424470,搞笑幽默博主,原来如此,浙江 宁波,f,168312,728,4419,"66,787","8,026","139,299","214,112"
6,5131729669194808,2334728517,2025-02-08 11:23:55,"学到了。<img alt=""[开学季]"" title=""[开学季]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/72/2021_kaixueji_org.png"" />",来自广东,5131737539807866,0,1,学到了。[开学季],6471423680,小豆子本豆i,https://weibo.com/u/6471423680,游戏博主 微博原创视频博主,雪崩的时候，没有一片雪花是不崩的❄,其他,f,161845,2005,2015,,,,
7,5131729669194808,2334728517,2025-02-08 16:10:58,2025越来越棒👍🏻,来自安徽,5131809777783107,0,0,2025越来越棒👍🏻,7547013850,晞蓁,https://weibo.com/u/7547013850,旅游博主 超话粉丝大咖（丁真超话） 微博原创视频博主 头条文章作者,我的珍稀少年，像太阳一般明朗耀眼，又像月亮一样谦和柔软。,其他,f,42652,1281,7008,"229,487","5,735","260,703","495,925"
8,5131729669194808,2334728517,2025-02-08 15:10:48,"必须有气场<img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" />",来自四川,5131794634510615,0,0,必须有气场[赞],5589116219,甜甜哒蜜糖小熊,https://weibo.com/u/5589116219,娱乐博主 微博剪辑视频博主 问答答主,爱看电视剧^_^又爱看综艺  本人无粉籍^_^只粉我自己  好看的都看^_^优秀的都赞,四川 成都,m,86977,2207,2344,"61,244","1,032","104,222","166,498"
9,5131729669194808,2334728517,2025-02-08 14:49:49,冲,来自河北,5131789358073925,0,0,冲,5697926140,世界欠我一个蓝二哥哥ing,https://weibo.com/u/5697926140,超话粉丝钻咖（博君一肖超话）,💚💚💚@王一博@肖战❤️❤️❤️勇敢向前走！不要回头！我在 一直在 永远在💛💛💛,北京,f,142977,323,21377,"362,420","152,427","3,012,962","3,527,809"
10,5131729669194808,2334728517,2025-02-08 14:02:05,自信起来😎强大起来,来自四川,5131777345587878,0,0,自信起来😎强大起来,6414997042,我只想取个wb名,https://weibo.com/u/6414997042,读物博主 超话小主持人（成都超话）,莫愁千里路，自有到来风。,四川,f,47625,3318,742,,,,
11,5131729669194808,2334728517,2025-02-08 13:48:48,"努力加油<img alt=""[给你小心心]"" title=""[给你小心心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/ca/qixi2018_xiaoxinxin_org.png"" />",来自上海,5131774000893292,0,0,努力加油[给你小心心],6791440331,紫霄16,https://weibo.com/u/6791440331,情感博主 超话主持人（人文艺术超话） 微博原创视频博主 微博VLOG博主,不藏美，也不惧枯。万物于此，从不是愁色，而是雅韵风骨。,上海,f,232246,1657,4769,"440,496","21,450","847,015","1,308,961"
12,5131729669194808,2334728517,2025-02-08 13:44:51,"好哒<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />",来自北京,5131773006842518,0,0,好哒[心],6187269821,水中鱼望天空的雨,https://weibo.com/u/6187269821,超话粉丝钻咖（周九良超话）,一周已航，良久热爱,北京,f,1685,542,6983,"117,984","4,085","386,421","508,490"
