,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户认证信息,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5104894749705479,5574407334,2024-11-26 10:07:27,铁梅和王菊在一起工作的几个日常都给人耳目一新的清爽，这个微小的「职场女性宇宙」是一个侧写，《好东西》最好的地方就是展开一种腐朽叙事之外的全新叙事,来自内蒙古,5104901594287082,0,109,铁梅和王菊在一起工作的几个日常都给人耳目一新的清爽，这个微小的「职场女性宇宙」是一个侧写，《好东西》最好的地方就是展开一种腐朽叙事之外的全新叙事,5574407334,空空两对半,https://weibo.com/u/5574407334,电影博主,新浪网友,其他,f,343603,182,8067,"277,717","1,361,013","6,457,882","8,096,612"
1,5104894749705479,5574407334,2024-11-26 10:14:06,宋佳那句“链接发我”，真是出乎意料！,来自四川,5104903265716843,0,60,宋佳那句“链接发我”，真是出乎意料！,7326481088,数峰青青青,https://weibo.com/u/7326481088,,,四川 成都,f,20,84,931,48,73,229,350
2,5104894749705479,5574407334,2024-11-26 10:10:48,没有刻意关注过王菊，但她从几年前的爱很美味到年初的繁花再到现在的好东西，一直都是让人眼前一亮的存在，以后会更加期待在其他作品里看见她了,来自江苏,5104902437605727,0,46,没有刻意关注过王菊，但她从几年前的爱很美味到年初的繁花再到现在的好东西，一直都是让人眼前一亮的存在，以后会更加期待在其他作品里看见她了,6483893234,事我关不都么什,https://weibo.com/u/6483893234,,人潮拥挤我能感觉你,其他,f,147,430,1898,"3,529",278,"2,693","6,500"
3,5104894749705479,5574407334,2024-11-26 09:45:43,职场赛道真的是她舒适区了,来自上海,5104896124652639,0,21,职场赛道真的是她舒适区了,3059836755,_蘑菇呐,https://weibo.com/u/3059836755,,˙Ⱉ˙ฅ greeting earthlings/碎碎念比较多请勿关注,上海,f,326,703,4659,"7,769","105,044","18,598","131,411"
4,5104894749705479,5574407334,2024-11-26 09:41:23,她真的就是演员。,来自山东,5104895034656173,0,13,她真的就是演员。,6933938184,荷包鼓鼓hbgg,https://weibo.com/u/6933938184,,😇,海外,m,41,659,30161,"5,126",828,"2,815","8,769"
5,5104894749705479,5574407334,2024-11-26 10:01:40,而且她演戏好自然，这是好难得,来自广东,5104900138338125,0,15,而且她演戏好自然，这是好难得,3474012752,里早五士,https://weibo.com/u/3474012752,,要唱自己点,四川 成都,f,323,1440,4457,438,133,699,"1,270"
6,5104894749705479,5574407334,2024-11-26 10:35:35,“你这穿的啥呀”“不行吗”“链接给一下”,来自四川,5104908674797096,0,5,“你这穿的啥呀”“不行吗”“链接给一下”,5871623429,春云自东来,https://weibo.com/u/5871623429,,你们回到了自己的山川湖海,四川 成都,f,703,833,6575,"4,321","1,808","17,700","23,829"
7,5104894749705479,5574407334,2024-11-26 09:51:41,"是的！电影里看到她超开心的<img alt=""[愛你]"" title=""[愛你]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/f6/2018new_aini_org.png"" />",来自广东,5104897624380602,0,4,是的！电影里看到她超开心的[愛你],1827131770,李仔仔仔仔仔仔仔仔仔仔仔子,https://weibo.com/u/1827131770,,我爱小何（尖叫,其他,m,197,612,13452,"2,075","1,053","2,278","5,406"
8,5104894749705479,5574407334,2024-11-26 20:09:36,王菊在《爱很美味》、《一路朝阳》、《繁花》表现都不错。尤其是《一路朝阳》真是不比专业演员差甚至更好。她当初参加选秀的时候，就觉得她好有气场自信有魅力，但想不到她演戏挺有天赋，很优秀。,来自辽宁,5105053130033083,0,5,王菊在《爱很美味》、《一路朝阳》、《繁花》表现都不错。尤其是《一路朝阳》真是不比专业演员差甚至更好。她当初参加选秀的时候，就觉得她好有气场自信有魅力，但想不到她演戏挺有天赋，很优秀。,7756221053,我来听你的演唱会EHZ,https://weibo.com/u/7756221053,,向阳而生🍀🍀🍀🌻🌻🌻,其他,m,5,216,4952,218,51,442,711
9,5104894749705479,5574407334,2024-11-26 19:39:41,就是就是,来自贵州,5105045603355294,0,0,就是就是,6521620914,掌裂叶秌海棠,https://weibo.com/u/6521620914,,实现财富自由,贵州,f,233,4768,9362,"1,319",228,"3,574","5,121"
