,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户认证信息,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5156126150365704,7417986528,2025-04-16 18:41:38,去年我姥姥（外婆）也经历过但是是同小区邻居那种，我下班回来知道了说要不去报警或者我去上门，我姥姥说她已经骂过这个人了而且也和街坊四邻说了这个人的恶行，不让我过去，意思就是这个男的孤家寡人我们还有亲人，他别再报复，反正和周围邻居都说了远离这个人就先这样吧，我超生气我姥姥都快80了！！,来自河北,5156127680235481,6,59,去年我姥姥（外婆）也经历过但是是同小区邻居那种，我下班回来知道了说要不去报警或者我去上门，我姥姥说她已经骂过这个人了而且也和街坊四邻说了这个人的恶行，不让我过去，意思就是这个男的孤家寡人我们还有亲人，他别再报复，反正和周围邻居都说了远离这个人就先这样吧，我超生气我姥姥都快80了！！,1833079952,MGYL我一直在,https://weibo.com/u/1833079952,娱乐博主 超话粉丝大咖（熊祁超话）,只要平平安安，哪怕生生不见,北京,m,13260,939,14418,"116,349","169,360","135,131","420,840"
1,5156126150365704,7417986528,2025-04-16 20:51:33,别说职场了，有男人的地方都这样，轻则眼神骚扰，语言骚扰，重则动手动脚，不舒服的时候就要立马反应，千万不要顾及什么脸面！！！男的要是有自知之明，就不会做这种让人觉得不舒服的事了！！！很多男的就是吃准了女性容易不吭声，忍让，才得寸进尺的，越不反抗越让他们觉得有戏！！！,来自广东,5156160374573488,4,43,别说职场了，有男人的地方都这样，轻则眼神骚扰，语言骚扰，重则动手动脚，不舒服的时候就要立马反应，千万不要顾及什么脸面！！！男的要是有自知之明，就不会做这种让人觉得不舒服的事了！！！很多男的就是吃准了女性容易不吭声，忍让，才得寸进尺的，越不反抗越让他们觉得有戏！！！,7531231474,您所查看的昵称不予显示,https://weibo.com/u/7531231474,,不是未来决定当下，而是当下决定未来。,其他,f,4,302,1543,125,47,462,634
2,5156126150365704,7417986528,2025-04-16 18:42:25,“只有当阳光洒满每一片阴暗的缝隙，苔藓无处可栖，春天才会真的降临在每一片被迫沉默土地。”每一个勇敢拒绝的女性，都是女性为女性共同支起的一片天,来自江苏,5156127876582073,1,19,“只有当阳光洒满每一片阴暗的缝隙，苔藓无处可栖，春天才会真的降临在每一片被迫沉默土地。”每一个勇敢拒绝的女性，都是女性为女性共同支起的一片天,2469629370,HurryyyyyyUp,https://weibo.com/u/2469629370,,,湖北 宜昌,f,27,321,2387,14,31,91,136
3,5156126150365704,7417986528,2025-04-16 19:24:38,女性被骚扰真的不分年龄 其他的太多话语不知道该怎么说 只能说他们永远不能体会到女性的困境,来自广东,5156138501280020,2,16,女性被骚扰真的不分年龄 其他的太多话语不知道该怎么说 只能说他们永远不能体会到女性的困境,7867498146,实在是想不出还有什么名字,https://weibo.com/u/7867498146,,原 实在是想不出还有什么名字可以用,其他,f,6,99,150,68,1,74,143
4,5156126150365704,7417986528,2025-04-16 19:12:19,崽姐写的真的很好，短短的23年已经遭受了很多次性骚扰，遍地存在，以前从来没想过会发生在我身上，也让我意识到要勇敢发声，才会让恶人害怕，沉默只会变本加厉！,来自广东,5156135402997432,2,4,崽姐写的真的很好，短短的23年已经遭受了很多次性骚扰，遍地存在，以前从来没想过会发生在我身上，也让我意识到要勇敢发声，才会让恶人害怕，沉默只会变本加厉！,5694358046,1睡不醒r,https://weibo.com/u/5694358046,,,内蒙古 呼和浩特,f,33,340,54,3,0,4,7
5,5156126150365704,7417986528,2025-04-16 22:19:47,"性骚扰不分年龄不分时间地点，性骚扰就是性骚扰<img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" />",来自重庆,5156182580004644,1,2,性骚扰不分年龄不分时间地点，性骚扰就是性骚扰[泪],6983702897,是伊露索玛不是埃普西隆,https://weibo.com/u/6983702897,,,其他,f,9,37,125,78,0,354,432
6,5156126150365704,7417986528,2025-04-16 20:18:36,"<img alt=""[单身狗]"" title=""[单身狗]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/20/2021_alongdog_org.png"" />工作第一年被体制内六十多岁老头有意无意摸腰拍肩膀，直接被吓跑，第二天开始寻求直系领导的庇护，好在后来工作没交集了。",来自河北,5156152083219589,2,0,[单身狗]工作第一年被体制内六十多岁老头有意无意摸腰拍肩膀，直接被吓跑，第二天开始寻求直系领导的庇护，好在后来工作没交集了。,5605214846,问星何许_,https://weibo.com/u/5605214846,,,河北,f,159,165,298,561,1,529,"1,091"
7,5156126150365704,7417986528,2025-04-16 18:45:11,确实，有时候年长的人可能会更怕面子和流言反而不敢声张只能自己忍让，以为可以换取和平，其实根本不可能！一定要0容忍反抗！,来自江苏,5156128573621670,1,2,确实，有时候年长的人可能会更怕面子和流言反而不敢声张只能自己忍让，以为可以换取和平，其实根本不可能！一定要0容忍反抗！,3700085755,七曜日Ray,https://weibo.com/u/3700085755,,执念,北京 崇文区,f,7,259,242,0,0,8,8
8,5156126150365704,7417986528,2025-04-16 19:08:00,我要变强，变强就是为了收拾这些人渣,来自广东,5156134319817702,1,0,我要变强，变强就是为了收拾这些人渣,7384443551,顾弄溪不弄溪,https://weibo.com/u/7384443551,,2020年的微博内容是我的追梦日志，不过那个梦碎了,广东,m,12,31,6,3,0,31,34
9,5156126150365704,7417986528,2025-04-16 21:31:51,"不得不说田力真的很会找骚扰的对象，看准了女性文雅温和的特质觉得她们不会把被骚扰之事公之于众。沉默会让加害者愈发肆无忌惮，不是每个受害者都有勇气在一开始就强硬反击，但受害者无罪，被唾弃的永远只应该是加害者<img alt=""[可爱]"" title=""[可爱]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/09/2018new_keai_org.png"" />",来自湖北,5156170516141746,1,1,不得不说田力真的很会找骚扰的对象，看准了女性文雅温和的特质觉得她们不会把被骚扰之事公之于众。沉默会让加害者愈发肆无忌惮，不是每个受害者都有勇气在一开始就强硬反击，但受害者无罪，被唾弃的永远只应该是加害者[可爱],6012041268,幽微丷,https://weibo.com/u/6012041268,,祝你此行多皎月,其他,f,4,31,276,160,2,181,343
