,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5156437283047205,5040487385,2025-04-17 15:42:42,在哪里？我来骂！劳资滴滴代骂🤬,来自贵州,5156445038577078,2,0,在哪里？我来骂！劳资滴滴代骂🤬,7404753650,YANG_YAHADA,https://weibo.com/u/7404753650,🆕,其他,f,54,268,170,226,1,923,"1,150"
1,5156437283047205,5040487385,2025-04-17 16:42:02,不如铁t救火,来自重庆,5156459973181897,1,0,不如铁t救火,3904113755,WooYauchi,https://weibo.com/u/3904113755,Russian roulette is not the same without a gun.,海外,f,138,1634,5374,"1,617","22,644","1,795","26,056"
2,5156437283047205,5040487385,2025-04-17 15:17:29,小发雷霆一下,来自上海,5156438691283692,1,0,小发雷霆一下,7985645104,眼淚續杯,https://weibo.com/u/7985645104,雜食女,其他,m,9,19,173,53,2,25,80
3,5156437283047205,5040487385,2025-04-17 21:18:14,"咱们只是手小拧不开 不是魅男想不开<img alt=""[爱你]"" title=""[爱你]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/f6/2018new_aini_org.png"" />",来自湖南,5156529478307632,0,1,咱们只是手小拧不开 不是魅男想不开[爱你],3548494855,努力成为accept女王的小菜鸡一枚,https://weibo.com/u/3548494855,“不惧无望❤️”,海外 加拿大,f,202,517,149,769,5,"1,176","1,950"
4,5156437283047205,5040487385,2025-04-18 00:29:24,"痴线<img alt=""[可爱]"" title=""[可爱]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/09/2018new_keai_org.png"" />以后给我来拧 不就拧个瓶盖喝个水吗<img alt=""[兔子]"" title=""[兔子]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/c6/2018new_tuzi_org.png"" />有什么了不起的 要爱男你好好爱 别祸害人 喜欢越界的家伙真没礼貌",来自江苏,5156577587235600,0,0,痴线[可爱]以后给我来拧 不就拧个瓶盖喝个水吗[兔子]有什么了不起的 要爱男你好好爱 别祸害人 喜欢越界的家伙真没礼貌,6871860244,春枝十六夜,https://weibo.com/u/6871860244,阴天之后总有续命的晴空.,北京,f,1481,1321,1898,"5,723",8,"8,810","14,541"
5,5156437283047205,5040487385,2025-04-17 15:17:21,？,来自上海,5156438657992925,0,0,？,7985645104,眼淚續杯,https://weibo.com/u/7985645104,雜食女,其他,m,9,19,173,53,2,25,80
