,comments_level_1_mid,main_body_uid,发布时间,处理内容,评论地点,mid,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5156402008692439,1958948282,25年04月17日 13:07,普通人不结婚也是劳碌一生的。难道普通人不婚不育就能衣食无忧了吗？哪怕不买车，首先就是房子。自己的吃喝开销，现在年轻人不可能除了吃饭，什么也不吃。什么先苦后甜呀，除非运气来了挣钱了，指望打工，都是一辈子奔波,来自江苏,5156406038891833,3,普通人不结婚也是劳碌一生的。难道普通人不婚不育就能衣食无忧了吗？哪怕不买车，首先就是房子。自己的吃喝开销，现在年轻人不可能除了吃饭，什么也不吃。什么先苦后甜呀，除非运气来了挣钱了，指望打工，都是一辈子奔波,7965954063,我是苏瑶sususu,https://weibo.com/u/7965954063,能歌善舞，言语犀利。,江苏 南京,f,55,268,47,2,7,19,28
1,5156402008692439,1958948282,25年04月17日 18:20,"回复<a href=/n/-祂是黯淡星- usercard=""name=@-祂是黯淡星-"">@-祂是黯淡星-</a>:多数人只有打工的命，",来自江苏,5156484753131470,0,回复@-祂是黯淡星-:多数人只有打工的命，,7965954063,我是苏瑶sususu,https://weibo.com/u/7965954063,能歌善舞，言语犀利。,江苏 南京,f,55,268,47,2,7,19,28
2,5156402008692439,1958948282,25年04月17日 17:31,"回复<a href=/n/我是苏瑶sususu usercard=""name=@我是苏瑶sususu"">@我是苏瑶sususu</a>:附议，打工发不了财实现不了财富自由。",来自江西,5156472346381827,0,回复@我是苏瑶sususu:附议，打工发不了财实现不了财富自由。,7415929061,-祂是黯淡星-,https://weibo.com/u/7415929061,长期美国作息夜间出没丨滴泪妹一枚呀丨重抑+人格分裂 骂我的人有福了不是你突然蚕丝就是开门被我铜丝丨LGBT新建文件夹,其他,f,1489,581,13637,"7,314","2,505","8,786","18,605"
3,5156402008692439,1958948282,25年04月17日 13:28,"回复<a href=/n/保持身心健康最重要 usercard=""name=@保持身心健康最重要"">@保持身心健康最重要</a>:嗯我五个孩子呢",来自江苏,5156411379287656,1,回复@保持身心健康最重要:嗯我五个孩子呢,7965954063,我是苏瑶sususu,https://weibo.com/u/7965954063,能歌善舞，言语犀利。,江苏 南京,f,55,268,47,2,7,19,28
4,5156402008692439,1958948282,25年04月17日 13:28,"回复<a href=/n/我是苏瑶sususu usercard=""name=@我是苏瑶sususu"">@我是苏瑶sususu</a>:不和你争论哈，你要是喜欢结婚就结婚喜欢生就多生，随便你",来自江苏,5156411244024028,7,回复@我是苏瑶sususu:不和你争论哈，你要是喜欢结婚就结婚喜欢生就多生，随便你,6980304039,保持身心健康最重要,https://weibo.com/u/6980304039,,其他,m,14,19,125,236,1,69,306
