,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5153996692785104,5252676248,2025-04-11 00:08:04,"青岛没有🙂‍↔️门店 羡慕住了<img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" />",来自山东,5154035503204318,5,0,青岛没有🙂‍↔️门店 羡慕住了[二哈],5616798493,鳗鱼素儿,https://weibo.com/u/5616798493,每天都要元气满满,其他,f,28,261,681,496,80,"1,486","2,062"
1,5153996692785104,5252676248,2025-04-11 09:23:10,云南IP的不用想了哈哈哈哈(≧ｗ≦)没有,来自云南,5154175202362249,2,0,云南IP的不用想了哈哈哈哈(≧ｗ≦)没有,6673075824,这个宝贝超可爱,https://weibo.com/u/6673075824,,广东 广州,f,45,115,2052,"1,198",70,"3,045","4,313"
2,5153996692785104,5252676248,2025-04-13 11:15:17,可爱！,来自江苏,5154928188200430,0,0,可爱！,5337012020,阿琳叮铃铃,https://weibo.com/u/5337012020,太阳落山前，我们都要比昨天更加幸福,江苏 无锡,f,29,134,97,83,3,223,309
