,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户认证信息,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5151463350731609,7163721185,2025-04-04 08:34:02,"<img alt=""[淡淡的]"" title=""[淡淡的]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7b/2024_takearest_org.png"" />",来自贵州,5151626117778121,0,0,[淡淡的],7494095738,橙子爱喝迪味汽水,https://weibo.com/u/7494095738,娱乐博主,对方不想介绍自己,其他,f,13136,1001,22109,"243,721","2,243,179","130,943","2,617,843"
1,5151463350731609,7163721185,2025-04-04 00:48:07,"<img alt=""[嘘]"" title=""[嘘]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/b0/2018new_xu_org.png"" /><img alt=""[嘘]"" title=""[嘘]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/b0/2018new_xu_org.png"" />",来自广东,5151508866794848,0,0,[嘘][嘘],7924876087,甜栀巷,https://weibo.com/u/7924876087,娱乐博主 超话创作官（迪丽热巴超话）,喜欢你˶˃ ᵕ ˂˶@Dear-迪丽热巴,其他,f,5862,887,6109,"63,129","667,571","17,118","747,818"
2,5151463350731609,7163721185,2025-04-04 00:21:37,晚安,来自广东,5151502200996532,0,1,晚安,7784150410,哖兽-吉利版,https://weibo.com/u/7784150410,娱乐博主 超话创作官（迪丽热巴超话）,如果爱迪是天赋、,其他,f,27584,766,11856,"56,977","1,094,000","15,672","1,166,649"
