,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞,用户认证信息
0,5118783847139181,7309842759,2025-01-05 11:10:23,"他们会说什么 女的真喜欢你，不需要你花钱，但凡想花你钱的，都是捞女，我可以主动给你花钱，但是你不能张口要<img alt=""[太开心]"" title=""[太开心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/1e/2018new_taikaixin_org.png"" />",来自上海,5119412946078200,2,10,他们会说什么 女的真喜欢你，不需要你花钱，但凡想花你钱的，都是捞女，我可以主动给你花钱，但是你不能张口要[太开心],6064543492,比弗利山庄梦女,https://weibo.com/u/6064543492,Jang WonYoung,海外,f,57,297,1207,384,16,959,"1,359",
1,5118783847139181,7309842759,2025-01-03 21:31:31,停止PUA本公主不想听,来自重庆,5118844486287776,0,9,停止PUA本公主不想听,6047705183,茂木希子1840,https://weibo.com/u/6047705183,不试图读懂任何人。微信门槛520，不加微信不闲聊。职业模特。拍摄：不触碰模特，带助理，不商务，不陪睡，不特写。面基2000门槛 最多可握手。,其他,f,23178,1313,3643,"7,793","1,013","35,221","44,027",颜值博主
2,5118783847139181,7309842759,2025-01-04 14:46:35,让他走吧,来自河南,5119104967508984,0,7,让他走吧,2711523502,superlover1,https://weibo.com/u/2711523502,青春正好，不负韵华,河南 郑州,f,474,5121,1631,41,27,309,377,
3,5118783847139181,7309842759,2025-01-05 08:12:15,"所以我把抠男甩了<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自安徽,5119368117881860,0,6,所以我把抠男甩了[doge],5556548973,是甜棠呀,https://weibo.com/u/5556548973,你是深山的游客，边走边爱，生性多情 我是集市里的养猫者，不看路人，不换爱人。,安徽 合肥,f,153,1365,2085,7,1,141,149,
4,5118783847139181,7309842759,2025-01-07 11:25:39,"没那么喜欢约等于不喜欢 只是可以占便宜罢了 aa又不吃亏<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自江西,5120141564577080,0,3,没那么喜欢约等于不喜欢 只是可以占便宜罢了 aa又不吃亏[doge],2690609141,Puh-powee,https://weibo.com/u/2690609141,一只努力椰🥥//镇魂,江西,f,3578,2596,9156,"12,828",405,"51,767","65,000",
5,5118783847139181,7309842759,2025-01-05 23:49:08,"我前任就是这样<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自福建,5119603892818003,0,3,我前任就是这样[允悲],5572378877,杼栗,https://weibo.com/u/5572378877,,其他,f,164,239,167,105,3,185,293,
6,5118783847139181,7309842759,2025-01-07 15:48:43,"看到大家都骂，我舒服了<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自广西,5120207767736854,0,2,看到大家都骂，我舒服了[允悲],1699787345,王者骆姣姣,https://weibo.com/u/1699787345,123,广西,m,509,1696,14365,745,240,"3,440","4,425",
7,5118783847139181,7309842759,2025-01-09 21:03:18,"有的男的是真这样<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />",来自陕西,5121011709907665,0,1,有的男的是真这样[笑cry],5212633477,内啡肽无限制造商,https://weibo.com/u/5212633477,减肥的魏小瘦,其他,f,198,2061,2161,"1,752",41,"1,969","3,762",
8,5118783847139181,7309842759,2025-01-13 11:15:25,他会说你能花我的，我也要花你的,来自安徽,5122313316469736,0,0,他会说你能花我的，我也要花你的,5570924440,嘻嘻想想n,https://weibo.com/u/5570924440,呵呵,安徽 合肥,f,141,364,6372,"16,904",318,"16,781","34,003",
9,5118783847139181,7309842759,2025-01-06 20:59:53,艾玛太对了,来自北京,5119923691716912,0,0,艾玛太对了,6857608282,是又又又又木ma,https://weibo.com/u/6857608282,,湖北,f,10,109,789,15,2,64,81,
10,5118783847139181,7309842759,2025-01-05 17:11:57,"<img alt=""[鲜花]"" title=""[鲜花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/d4/2018new_xianhua_org.png"" />",来自江西,5119503938361129,0,0,[鲜花],1978210300,流年-花语,https://weibo.com/u/1978210300,,广东 深圳,f,315,897,2060,80,45,16,141,
