,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户认证信息,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5143050259794063,7909679403,2025-03-11 16:38:16,这很坏了,来自四川,5143050671096530,2,1,这很坏了,3243666781,葵志新,https://weibo.com/u/3243666781,娱乐博主,花花世界，静守己心  楼外蔡徐坤 楼内唯棍铲,其他,f,644,461,778,"7,125",68,"3,577","10,770"
1,5143050259794063,7909679403,2025-03-11 16:58:00,估计他妈都不知道 想从你们这儿捞一笔,来自黑龙江,5143055641870803,2,1,估计他妈都不知道 想从你们这儿捞一笔,7308330845,麦门十级爱好者,https://weibo.com/u/7308330845,娱乐博主 超话创作官（朱苏超话）,这里是棍铲全肯定bot，本博主是疯狗洁癖姐，介意勿关,其他,f,3069,772,6015,"21,318","6,950","90,954","119,222"
2,5143050259794063,7909679403,2025-03-11 16:37:05,一百块也要a？？,来自新疆,5143050372252932,4,1,一百块也要a？？,7265925734,咬一口冰碴子,https://weibo.com/u/7265925734,娱乐博主,直关是暗恋双取随意。U R Gay🏳️‍🌈,北京,f,1447,3232,21838,"27,230","18,322","19,794","65,346"
3,5143050259794063,7909679403,2025-03-13 18:36:49,神人啊,来自江苏,5143805284319349,1,1,神人啊,7456436199,咕嘟屿_,https://weibo.com/u/7456436199,,镇魂 | 属于咕嘟鱼的孤独屿💤,其他,f,546,639,1938,"2,053",492,"1,629","4,174"
4,5143050259794063,7909679403,2025-03-11 19:56:50,呃。有的人真是。,来自天津,5143100640986867,1,1,呃。有的人真是。,7823590798,苹果最爱吃饭,https://weibo.com/u/7823590798,超话粉丝钻咖（朱苏超话）,🌷🌷🌷第九幼稚园九班班长🌷🌷🌷,北京,f,700,346,4483,"5,171",66,"2,849","8,086"
5,5143050259794063,7909679403,2025-03-11 17:03:56,"没事吧<img alt=""[疑问]"" title=""[疑问]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/b8/2018new_ningwen_org.png"" />",来自四川,5143057134256555,1,1,没事吧[疑问],6301648094,棍去铲饼吃_,https://weibo.com/u/6301648094,,唯爱棍铲૮꒰ྀི >⸝⸝⸝< ꒱ྀིა,北京,f,953,502,3275,"5,590",828,"5,475","11,893"
6,5143050259794063,7909679403,2025-03-11 16:50:52,尼玛好惨,来自江西,5143053841732293,1,1,尼玛好惨,7244833874,春藤校草__,https://weibo.com/u/7244833874,娱乐博主,我是gay你别来看我了,江西,m,4548,995,47980,"68,358","255,433","75,228","399,019"
7,5143050259794063,7909679403,2025-03-11 16:41:46,"<img alt=""[费解]"" title=""[费解]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/2a/2018new_wenhao_org.png"" /><img alt=""[费解]"" title=""[费解]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/2a/2018new_wenhao_org.png"" /><img alt=""[费解]"" title=""[费解]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/2a/2018new_wenhao_org.png"" /><img alt=""[费解]"" title=""[费解]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/2a/2018new_wenhao_org.png"" /><img alt=""[费解]"" title=""[费解]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/2a/2018new_wenhao_org.png"" />",来自浙江,5143051551637997,1,1,[费解][费解][费解][费解][费解],7899828538,你身上有别的小狗味7,https://weibo.com/u/7899828538,娱乐博主,gay的爱是秩序外的一瞬间,其他,f,1590,940,13772,"13,915","309,192","13,150","336,257"
8,5143050259794063,7909679403,2025-03-11 16:40:44,？神人一枚,来自陕西,5143051291592466,1,1,？神人一枚,7905821116,懒不懒羊羊-,https://weibo.com/u/7905821116,娱乐博主 超话小主持人（芝信超话）,进我主页默认zzxwasxh,其他,f,1458,761,7417,"12,754","27,573","18,612","58,939"
9,5143050259794063,7909679403,2025-03-11 16:39:09,呃呃呃,来自海南,5143050892610805,1,1,呃呃呃,7670161885,无意识嗑药,https://weibo.com/u/7670161885,娱乐博主 超话粉丝钻咖（朱苏超话）,像我这么好的人不多了🔒,其他,f,2468,500,7152,"17,334","124,417","16,757","158,508"
