,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户认证信息,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5114153998489310,7843017985,2024-12-22 00:07:35,"别问，问就是洋人的情绪价值高于一切<img alt=""[偷笑]"" title=""[偷笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/71/2018new_touxiao_org.png"" />",来自上海,5114172715307598,1,83,别问，问就是洋人的情绪价值高于一切[偷笑],7279863911,爱女英雌小红薯,https://weibo.com/u/7279863911,微博剪辑视频博主,爱女才能兴华！严格执行生育补偿金（彩礼）800万！,北京,f,125632,2168,14020,"219,920","87,496","2,198,019","2,505,435"
1,5114153998489310,7843017985,2024-12-22 08:28:09,只有白人里的垃圾才会找亚洲女性，因为实在找不着白人女性了,来自江苏,5114298689128268,2,39,只有白人里的垃圾才会找亚洲女性，因为实在找不着白人女性了,7767776594,汉族生育文化促进会,https://weibo.com/u/7767776594,,,江苏,m,107,216,14,8,4,39,51
2,5114153998489310,7843017985,2024-12-21 23:22:09,"两种情况： 一、明眼的人都知道她有稿子，已经背得滚瓜烂熟，烂熟于心了。 二、不明眼的人，已经五体投地，佩服不已了…<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自陕西,5114161283729641,0,30,两种情况： 一、明眼的人都知道她有稿子，已经背得滚瓜烂熟，烂熟于心了。 二、不明眼的人，已经五体投地，佩服不已了…[允悲],6685571642,沧桑正途,https://weibo.com/u/6685571642,,,浙江,m,207,1207,1102,117,140,258,515
3,5114153998489310,7843017985,2024-12-22 06:55:31,不就是西方女拳那一套嘛，进口了,来自广东,5114275374825748,2,13,不就是西方女拳那一套嘛，进口了,6504582902,墨镜一带谁也不爱2024,https://weibo.com/u/6504582902,,,北京,m,302,1656,1203,,,,
4,5114153998489310,7843017985,2024-12-22 08:48:02,贱贱贱,来自浙江,5114303692407583,0,5,贱贱贱,3761184051,明州ag038,https://weibo.com/u/3761184051,,,浙江 宁波,m,357,77,224,12,0,18,30
5,5114153998489310,7843017985,2024-12-22 09:36:02,原来是个猪头,来自广东,5114315773051581,0,6,原来是个猪头,1662769010,一池荷叶居士,https://weibo.com/u/1662769010,,微博是浆糊。可随意涂抹。转发不表示赞同，信赖官方监管。,浙江,m,2769,1472,73550,"2,294","8,944","7,509","18,747"
6,5114153998489310,7843017985,2024-12-22 10:22:50,典型的傅首尔脸。,来自河南,5114327550657820,0,10,典型的傅首尔脸。,6198955407,大爷or瓜哥13543,https://weibo.com/u/6198955407,,,其他,m,61,133,1585,4,31,64,99
7,5114153998489310,7843017985,2024-12-22 08:58:22,"巴西牛排<img alt=""[偷笑]"" title=""[偷笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/71/2018new_touxiao_org.png"" />",来自福建,5114306293138400,0,4,巴西牛排[偷笑],5988400651,心g人挺好,https://weibo.com/u/5988400651,,,福建 福州,f,2,114,51,3,0,43,46
8,5114153998489310,7843017985,2024-12-22 10:12:29,可能她的英国丈夫的吉吉大一些？,来自辽宁,5114324945734062,0,1,可能她的英国丈夫的吉吉大一些？,7334268822,夕阳8460,https://weibo.com/u/7334268822,,,其他,m,14,436,9,1,0,6,7
9,5114153998489310,7843017985,2024-12-23 08:18:30,恶心,来自北京,5114658649018347,0,0,恶心,6631194962,拒绝宗教食品,https://weibo.com/u/6631194962,,不买宗教认证食品，拒绝给外来宗教贡献利润！你花的每一分钱，都是在为你想要的世界投票。,北京,m,738,361,126,70,109,435,614
10,5114153998489310,7843017985,2024-12-22 14:17:37,这长相 刻板印象了属于是,来自浙江,5114386633200276,0,0,这长相 刻板印象了属于是,3796491191,摇尾巴的龟,https://weibo.com/u/3796491191,,“洋垃圾”粉碎机,其他,m,71,305,491,18,9,143,170
11,5114153998489310,7843017985,2024-12-22 11:58:21,这最好，类似外国的白左,来自北京,5114351587690568,0,0,这最好，类似外国的白左,2004969083,111111123ni,https://weibo.com/u/2004969083,,,北京,m,132,396,410,0,12,13,25
12,5114153998489310,7843017985,2024-12-21 22:54:26,便宜人,来自广东,5114154313318917,0,0,便宜人,2395315137,冷血1出世,https://weibo.com/u/2395315137,,,内蒙古 通辽,m,153,257,85,0,1,54,55
13,5114153998489310,7843017985,2024-12-22 07:46:44,"同薪同酬好办 计件工资 干多少拿多少最公平<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />",来自黑龙江,5114288266282498,0,1,同薪同酬好办 计件工资 干多少拿多少最公平[打call][打call][打call],7362793722,女人只会影响我抽卡进度,https://weibo.com/u/7362793722,,冒犯女拳是因为喜欢她们,黑龙江,m,59,163,243,425,31,137,593
14,5114153998489310,7843017985,2025-01-08 03:49:07,这女的长得真的丑,来自四川,5120389062066569,0,0,这女的长得真的丑,1685470570,彭加莱猜想,https://weibo.com/u/1685470570,,股海中的一根金箍棒,海外,m,111,202,1076,334,270,536,"1,140"
15,5114153998489310,7843017985,2024-12-22 09:00:29,"<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />",来自广东,5114306825817818,0,0,[笑cry],5365939481,卧思流氓卧怕贼,https://weibo.com/u/5365939481,,,其他,m,389,138,39,0,0,26,26
16,5114153998489310,7843017985,2024-12-22 00:50:06,反贼周刊,来自广东,5114183416286440,0,4,反贼周刊,7329952352,猪_你太美,https://weibo.com/u/7329952352,,,海外,f,398,220,47594,86,"1,057","2,099","3,242"
17,5114153998489310,7843017985,2024-12-22 02:19:56,怎么只说同薪同酬，不用加上同工吗？相同工作男女薪酬就是相同的吧,来自广东,5114206022271415,1,0,怎么只说同薪同酬，不用加上同工吗？相同工作男女薪酬就是相同的吧,7925722311,用户7925722311,https://weibo.com/u/7925722311,,,其他,f,3,53,29,0,0,1,1
18,5114153998489310,7843017985,2024-12-26 04:05:13,这女的看着就过得很苦从小就苦面相很苦才会如此炸裂的说杀父弑母毫无顾忌，去看她评论区都是些很低级的不能正常表达的妇女,来自青海,5115682068889743,0,0,这女的看着就过得很苦从小就苦面相很苦才会如此炸裂的说杀父弑母毫无顾忌，去看她评论区都是些很低级的不能正常表达的妇女,1654650240,珍妮佛悦,https://weibo.com/u/1654650240,,"Als das Kind Kind war, ging es mit hängenden Armen",其他,m,71,828,589,111,8,97,216
19,5114153998489310,7843017985,2024-12-23 08:49:50,"请不要造谣，白皮不和她领证，她是免费飞机杯保姆ATM奴<img alt=""[春游家族]"" title=""[春游家族]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/b6/2021_YoungFamily_org.png"" />",来自上海,5114666532997988,0,1,请不要造谣，白皮不和她领证，她是免费飞机杯保姆ATM奴[春游家族],3079420405,GeeGaGa_W,https://weibo.com/u/3079420405,,青春只是发黄的书信，最终颜色会慢慢褪去~,上海 闸北区,m,197,249,2068,"1,249",586,74,"1,909"
20,5114153998489310,7843017985,2024-12-22 22:15:38,不要脸的🚽,来自福建,5114506932656205,0,0,不要脸的🚽,1335089613,白de锎水,https://weibo.com/u/1335089613,,,福建 福州,m,216,454,425,3,4,18,25
21,5114153998489310,7843017985,2024-12-22 19:58:00,打拳不打洋男,来自上海,5114472295304728,1,2,打拳不打洋男,3722973942,公爵夫人的牡丹和枫叶,https://weibo.com/u/3722973942,,只要心中有信念，什么都不畏惧，坚持自我走自己的路，独来独往，金庸迷，日本战国史迷，日本动漫迷，大爱宇智波一族,上海 徐汇区,f,973,5011,5707,50,58,559,667
22,5114153998489310,7843017985,2024-12-22 14:37:13,这些打拳的都一个德行，双标,来自广东,5114391567535868,0,2,这些打拳的都一个德行，双标,7332920604,老猫要装有文化,https://weibo.com/u/7332920604,,传统文化、诗词爱好者。,其他,f,125,331,414,157,1,47,205
23,5114153998489310,7843017985,2024-12-22 10:22:21,女拳怎样倒贴白皮猪是她的权利，但是不要回头祸祸中国男足,来自广东,5114327427974681,0,0,女拳怎样倒贴白皮猪是她的权利，但是不要回头祸祸中国男足,1868298695,南海骏,https://weibo.com/u/1868298695,,一首打油诗，快乐我自知。,广东 广州,m,297,328,1621,181,104,68,353
